Date,Adjusted,Asylum support payment (£)
2014-03-01,Nominal,42.62
2014-04-01,Inflation-adjusted,42.57742257742258
2014-04-01,Nominal,42.62
2014-05-01,Inflation-adjusted,42.62
2014-05-01,Nominal,42.62
2014-06-01,Inflation-adjusted,42.53493013972056
2014-06-01,Nominal,42.62
2014-07-01,Inflation-adjusted,42.662662662662655
2014-07-01,Nominal,42.62
2014-08-01,Inflation-adjusted,42.53493013972056
2014-08-01,Nominal,42.62
2014-09-01,Inflation-adjusted,42.4925224327019
2014-09-01,Nominal,42.62
2014-10-01,Inflation-adjusted,42.450199203187246
2014-10-01,Nominal,42.62
2014-11-01,Inflation-adjusted,42.57742257742258
2014-11-01,Nominal,42.62
2014-12-01,Inflation-adjusted,42.57742257742258
2014-12-01,Nominal,42.62
2015-01-01,Inflation-adjusted,42.92044310171198
2015-01-01,Nominal,42.62
2015-02-01,Inflation-adjusted,42.834170854271356
2015-02-01,Nominal,42.62
2015-03-01,Inflation-adjusted,42.74824473420261
2015-03-01,Nominal,42.62
2015-04-01,Inflation-adjusted,42.662662662662655
2015-04-01,Nominal,42.62
2015-05-01,Inflation-adjusted,42.57742257742258
2015-05-01,Nominal,42.62
2015-06-01,Inflation-adjusted,42.53493013972056
2015-06-01,Nominal,42.62
2015-07-01,Inflation-adjusted,42.62
2015-07-01,Nominal,42.62
2015-08-01,Inflation-adjusted,36.839481555334004
2015-08-01,Nominal,36.95
2015-09-01,Inflation-adjusted,36.876247504990026
2015-09-01,Nominal,36.95
2015-10-01,Inflation-adjusted,36.839481555334004
2015-10-01,Nominal,36.95
2015-11-01,Inflation-adjusted,36.839481555334004
2015-11-01,Nominal,36.95
2015-12-01,Inflation-adjusted,36.839481555334004
2015-12-01,Nominal,36.95
2016-01-01,Inflation-adjusted,37.1356783919598
2016-01-01,Nominal,36.95
2016-02-01,Inflation-adjusted,37.02404809619239
2016-02-01,Nominal,36.95
2016-03-01,Inflation-adjusted,36.876247504990026
2016-03-01,Nominal,36.95
2016-04-01,Inflation-adjusted,36.876247504990026
2016-04-01,Nominal,36.95
2016-05-01,Inflation-adjusted,36.80278884462152
2016-05-01,Nominal,36.95
2016-06-01,Inflation-adjusted,36.72962226640159
2016-06-01,Nominal,36.95
2016-07-01,Inflation-adjusted,36.72962226640159
2016-07-01,Nominal,36.95
2016-08-01,Inflation-adjusted,36.62041625371655
2016-08-01,Nominal,36.95
2016-09-01,Inflation-adjusted,36.547972304648866
2016-09-01,Nominal,36.95
2016-10-01,Inflation-adjusted,36.51185770750988
2016-10-01,Nominal,36.95
2016-11-01,Inflation-adjusted,36.43984220907298
2016-11-01,Nominal,36.95
2016-12-01,Inflation-adjusted,36.26104023552502
2016-12-01,Nominal,36.95
2017-01-01,Inflation-adjusted,36.43984220907298
2017-01-01,Nominal,36.95
2017-02-01,Inflation-adjusted,36.1900097943193
2017-02-01,Nominal,36.95
2017-03-01,Inflation-adjusted,36.04878048780488
2017-03-01,Nominal,36.95
2017-04-01,Inflation-adjusted,35.9086491739553
2017-04-01,Nominal,36.95
2017-05-01,Inflation-adjusted,35.769603097773484
2017-05-01,Nominal,36.95
2017-06-01,Inflation-adjusted,35.769603097773484
2017-06-01,Nominal,36.95
2017-07-01,Inflation-adjusted,35.804263565891475
2017-07-01,Nominal,36.95
2017-08-01,Inflation-adjusted,35.59730250481696
2017-08-01,Nominal,36.95
2017-09-01,Inflation-adjusted,35.494716618635934
2017-09-01,Nominal,36.95
2017-10-01,Inflation-adjusted,35.46065259117083
2017-10-01,Nominal,36.95
2017-11-01,Inflation-adjusted,35.32504780114723
2017-11-01,Nominal,36.95
2017-12-01,Inflation-adjusted,35.22402287893232
2017-12-01,Nominal,36.95
2018-01-01,Inflation-adjusted,35.39272030651341
2018-01-01,Nominal,36.95
2018-02-01,Inflation-adjusted,35.98665395614871
2018-02-01,Nominal,37.75
2018-03-01,Inflation-adjusted,35.95238095238095
2018-03-01,Nominal,37.75
2018-04-01,Inflation-adjusted,35.81593927893738
2018-04-01,Nominal,37.75
2018-05-01,Inflation-adjusted,35.68052930056711
2018-05-01,Nominal,37.75
2018-06-01,Inflation-adjusted,35.68052930056711
2018-06-01,Nominal,37.75
2018-07-01,Inflation-adjusted,35.68052930056711
2018-07-01,Nominal,37.75
2018-08-01,Inflation-adjusted,35.44600938967136
2018-08-01,Nominal,37.75
2018-09-01,Inflation-adjusted,35.41275797373359
2018-09-01,Nominal,37.75
2018-10-01,Inflation-adjusted,35.379568884723525
2018-10-01,Nominal,37.75
2018-11-01,Inflation-adjusted,35.2803738317757
2018-11-01,Nominal,37.75
2018-12-01,Inflation-adjusted,35.24743230625584
2018-12-01,Nominal,37.75
2019-01-01,Inflation-adjusted,35.512699905926624
2019-01-01,Nominal,37.75
2019-02-01,Inflation-adjusted,35.34644194756554
2019-02-01,Nominal,37.75
2019-03-01,Inflation-adjusted,35.2803738317757
2019-03-01,Nominal,37.75
2019-04-01,Inflation-adjusted,35.083643122676584
2019-04-01,Nominal,37.75
2019-05-01,Inflation-adjusted,34.98609823911029
2019-05-01,Nominal,37.75
2019-06-01,Inflation-adjusted,34.98609823911029
2019-06-01,Nominal,37.75
2019-07-01,Inflation-adjusted,34.98609823911029
2019-07-01,Nominal,37.75
2019-08-01,Inflation-adjusted,34.82472324723247
2019-08-01,Nominal,37.75
2019-09-01,Inflation-adjusted,34.7926267281106
2019-09-01,Nominal,37.75
2019-10-01,Inflation-adjusted,34.85687903970452
2019-10-01,Nominal,37.75
2019-11-01,Inflation-adjusted,34.7926267281106
2019-11-01,Nominal,37.75
2019-12-01,Inflation-adjusted,34.7926267281106
2019-12-01,Nominal,37.75
2020-01-01,Inflation-adjusted,34.889094269870604
2020-01-01,Nominal,37.75
2020-02-01,Inflation-adjusted,34.760589318600374
2020-02-01,Nominal,37.75
2020-03-01,Inflation-adjusted,34.760589318600374
2020-03-01,Nominal,37.75
2020-04-01,Inflation-adjusted,34.7926267281106
2020-04-01,Nominal,37.75
2020-05-01,Inflation-adjusted,34.7926267281106
2020-05-01,Nominal,37.75
2020-06-01,Inflation-adjusted,34.760589318600374
2020-06-01,Nominal,37.75
2020-07-01,Inflation-adjusted,34.601283226397804
2020-07-01,Nominal,37.75
2020-08-01,Inflation-adjusted,34.760589318600374
2020-08-01,Nominal,37.75
2020-09-01,Inflation-adjusted,34.601283226397804
2020-09-01,Nominal,37.75
2020-10-01,Inflation-adjusted,34.601283226397804
2020-10-01,Nominal,37.75
2020-11-01,Inflation-adjusted,34.66483011937557
2020-11-01,Nominal,37.75
2020-12-01,Inflation-adjusted,34.569597069597066
2020-12-01,Nominal,37.75
2021-01-01,Inflation-adjusted,34.63302752293578
2021-01-01,Nominal,37.75
2021-02-01,Inflation-adjusted,36.32447296058662
2021-02-01,Nominal,39.63
2021-03-01,Inflation-adjusted,36.22486288848263
2021-03-01,Nominal,39.63
2021-04-01,Inflation-adjusted,35.99455040871935
2021-04-01,Nominal,39.63
2021-05-01,Inflation-adjusted,35.76714801444044
2021-05-01,Nominal,39.63
2021-06-01,Inflation-adjusted,35.60646900269542
2021-06-01,Nominal,39.63
2021-07-01,Inflation-adjusted,35.60646900269542
2021-07-01,Nominal,39.63
2021-08-01,Inflation-adjusted,35.35236396074934
2021-08-01,Nominal,39.63
2021-09-01,Inflation-adjusted,35.25800711743772
2021-09-01,Nominal,39.63
2021-10-01,Inflation-adjusted,34.885563380281695
2021-10-01,Nominal,39.63
